source,target,status,regex
/5-methods-eliminate-porosity-aluminum-pressure-die-casting,https://alumcasting.com/porosity-control-x-ray-inspection-castings,301,0
/a356-aluminum-die-casting-alloy-properties,https://alumcasting.com/a356-aluminum-die-casting-porosity-control,301,0
/a380-aluminum-die-casting-alloy-properties,https://alumcasting.com/380-aluminum-die-casting-service,301,0
/aluminum-alloy-adc12-properties-engineering-guide,https://alumcasting.com/adc12-die-casting-cnc-machining,301,0
/benefits-of-permanent-mold-casting-for-structural-integrity,https://alumcasting.com/gravity-die-casting-manufacturer,301,0
/bridge-tooling-low-volume-aluminum-die-casting-guide,https://alumcasting.com/die-casting-tooling,301,0
/cost-down-dfm-design-aluminum-die-casting-molds,https://alumcasting.com/die-casting-tooling,301,0
/custom-casting-ev-battery-housing-prototypes,https://alumcasting.com/ev-battery-housing-die-casting,301,0
/die-casting-defects-solutions-pro-guide,https://alumcasting.com/high-pressure-die-casting-process-quality,301,0
/die-casting-machine-tonnage-calculation-formula,https://alumcasting.com/maximum-wall-thickness-projected-area-limits-5000t-die-casting,301,0
/ev-battery-housing-die-casting-design-prototyping-guide,https://alumcasting.com/ev-battery-housing-die-casting,301,0
/gravity-die-casting-step-by-step-guide-pro,https://alumcasting.com/gravity-die-casting-manufacturer,301,0
/how-dfm-analysis-reduces-die-casting-costs,https://alumcasting.com/die-casting-tooling,301,0
/investment-casting-vs-die-casting-selection-guide,https://alumcasting.com/aluminum-die-casting,301,0
/iso-14001-high-pressure-aluminium-die-casting-manufacturer,https://alumcasting.com/high-pressure-die-casting-process-quality,301,0
/low-pressure-vs-high-pressure-die-casting-comparison,https://alumcasting.com/high-pressure-die-casting-process-quality,301,0
/magnesium-die-casting-corrosion-protection-mao-coating,https://alumcasting.com/magnesium-die-casting-services,301,0
/minimum-draft-angle-for-aluminium-die-casting-dfm-guide,https://alumcasting.com/die-casting-tooling,301,0
/permanent-mold-vs-die-casting-expert-comparison,https://alumcasting.com/gravity-die-casting-manufacturer,301,0
/post-casting-treatments-finishing-options-aluminum,https://alumcasting.com/surface-finishing-aluminum-magnesium-casting,301,0
/ppap-level-3-documentation-for-die-casting-iatf-guide,https://alumcasting.com/iatf-16949-high-tolerance-automotive-cnc-machining-supplier,301,0
/rheocasting-vs-conventional-hpdc-cost-analysis,https://alumcasting.com/thixocasting-vs-rheocasting-comparison,301,0
/sand-casting-process-guide,https://alumcasting.com/sand-casting-services,301,0
/scaling-automotive-cnc-machining-production,https://alumcasting.com/high-tolerance-automotive-cnc-machining,301,0
/scaling-die-casting-production-t0-to-10000-units,https://alumcasting.com/large-scale-5000t-aluminum-die-casting-factory-china,301,0
/small-batch-die-casting-cnc-finishing-guide,https://alumcasting.com/precision-cnc-machining,301,0
/t6-heat-treatment-semi-solid-die-casting-aluminum,https://alumcasting.com/semi-solid-die-casting-heat-treatable-aluminum,301,0
/ultimate-aluminum-die-casting-design-guide-expert-tips,https://alumcasting.com/aluminum-die-casting,301,0
/zamak-3-vs-zamak-5-die-casting-selection-guide,https://alumcasting.com/zinc-die-casting-services,301,0
/am60b-vs-az91d-elongation-properties-automotive-crashworthiness,https://alumcasting.com/am60b-magnesium-alloy-die-casting-suppliers,301,0
/machining-allowance-optimization-aluminum-casting-porosity,https://alumcasting.com/porosity-control-x-ray-inspection-castings,301,0
/magnesium-az91d-vs-aluminum-adc12-lightweight-housing,https://alumcasting.com/magnesium-die-casting-services,301,0
/metal-stamping-vs-die-casting-cost-design-guide,https://alumcasting.com/aluminum-die-casting,301,0
/pore-free-die-casting-weldable-automotive-structural-parts,https://alumcasting.com/automotive-die-casting-parts,301,0
/why-we-recommended-a356-over-adc12-high-stress-structural-parts,https://alumcasting.com/a356-aluminum-die-casting-porosity-control,301,0
