wp_url,wp_path,wp_type,wp_status,hugo_url,url_match,content_parity,decision,confidence,evidence
https://alumcasting.com/5-methods-eliminate-porosity-aluminum-pressure-die-casting,/5-methods-eliminate-porosity-aluminum-pressure-die-casting,BLOG_ARTICLE,200,https://alumcasting.com/porosity-control-x-ray-inspection-castings,APPROVED_REMAP,MERGED,APPROVED_REMAP (301 approved),HIGH,In I/J/K/L 35-remap matrix; target is live Hugo page
https://alumcasting.com/a356-aluminum-die-casting-alloy-properties,/a356-aluminum-die-casting-alloy-properties,BLOG_ARTICLE,200,https://alumcasting.com/a356-aluminum-die-casting-porosity-control,APPROVED_REMAP,MERGED,APPROVED_REMAP (301 approved),HIGH,In I/J/K/L 35-remap matrix; target is live Hugo page
https://alumcasting.com/a356-aluminum-die-casting-porosity-control,/a356-aluminum-die-casting-porosity-control,BLOG_ARTICLE,200,a356-aluminum-die-casting-porosity-control,EXACT,SUBSTANTIVE,MIGRATED (EXACT slug),HIGH,Same slug Hugo page; Hugo words=1107
https://alumcasting.com/a356-semi-solid-casting-benefits-expert-guide,/a356-semi-solid-casting-benefits-expert-guide,BLOG_ARTICLE,200,a356-semi-solid-casting-benefits-expert-guide,EXACT,SUBSTANTIVE,MIGRATED (EXACT slug),HIGH,Same slug Hugo page; Hugo words=894
https://alumcasting.com/a380-aluminum-die-casting-alloy-properties,/a380-aluminum-die-casting-alloy-properties,BLOG_ARTICLE,200,https://alumcasting.com/380-aluminum-die-casting-service,APPROVED_REMAP,MERGED,APPROVED_REMAP (301 approved),HIGH,In I/J/K/L 35-remap matrix; target is live Hugo page
https://alumcasting.com/aluminum-alloy-adc12-properties-engineering-guide,/aluminum-alloy-adc12-properties-engineering-guide,BLOG_ARTICLE,200,https://alumcasting.com/adc12-die-casting-cnc-machining,APPROVED_REMAP,MERGED,APPROVED_REMAP (301 approved),HIGH,In I/J/K/L 35-remap matrix; target is live Hugo page
https://alumcasting.com/aluminum-to-magnesium-conversion-weight-reduction,/aluminum-to-magnesium-conversion-weight-reduction,BLOG_ARTICLE,200,aluminum-to-magnesium-conversion-weight-reduction,EXACT,SUBSTANTIVE,MIGRATED (EXACT slug),HIGH,Same slug Hugo page; Hugo words=417
https://alumcasting.com/am60b-vs-az91d-elongation-properties-automotive-crashworthiness,/am60b-vs-az91d-elongation-properties-automotive-crashworthiness,BLOG_ARTICLE,200,https://alumcasting.com/am60b-magnesium-alloy-die-casting-suppliers,APPROVED_REMAP,MERGED,APPROVED_REMAP (301 approved),HIGH,In I/J/K/L 35-remap matrix; target is live Hugo page
https://alumcasting.com/benefits-of-permanent-mold-casting-for-structural-integrity,/benefits-of-permanent-mold-casting-for-structural-integrity,BLOG_ARTICLE,200,https://alumcasting.com/gravity-die-casting-manufacturer,APPROVED_REMAP,MERGED,APPROVED_REMAP (301 approved),HIGH,In I/J/K/L 35-remap matrix; target is live Hugo page
https://alumcasting.com/bridge-tooling-low-volume-aluminum-die-casting-guide,/bridge-tooling-low-volume-aluminum-die-casting-guide,BLOG_ARTICLE,200,https://alumcasting.com/die-casting-tooling,APPROVED_REMAP,MERGED,APPROVED_REMAP (301 approved),HIGH,In I/J/K/L 35-remap matrix; target is live Hugo page
https://alumcasting.com/casting-industry-applications,/casting-industry-applications,BLOG_ARTICLE,200,/automotive-die-casting-parts,APPROVED_REMAP,MERGED,APPROVED_REMAP (mandated legacy),HIGH,Mandated legacy remap (project memory); zero-content archive page
https://alumcasting.com/chinese-aluminum-casting-grade-equivalents-a380-a356-adc12,/chinese-aluminum-casting-grade-equivalents-a380-a356-adc12,BLOG_ARTICLE,200,,HUMAN_REVIEW,HUMAN_REVIEW,HUMAN_REVIEW (K freeze),HIGH,K: no single Hugo owner passes OWNER TEST; business decision pending
https://alumcasting.com/cost-down-dfm-design-aluminum-die-casting-molds,/cost-down-dfm-design-aluminum-die-casting-molds,BLOG_ARTICLE,200,https://alumcasting.com/die-casting-tooling,APPROVED_REMAP,MERGED,APPROVED_REMAP (301 approved),HIGH,In I/J/K/L 35-remap matrix; target is live Hugo page
https://alumcasting.com/custom-casting-ev-battery-housing-prototypes,/custom-casting-ev-battery-housing-prototypes,BLOG_ARTICLE,200,https://alumcasting.com/ev-battery-housing-die-casting,APPROVED_REMAP,MERGED,APPROVED_REMAP (301 approved),HIGH,In I/J/K/L 35-remap matrix; target is live Hugo page
https://alumcasting.com/die-casting-defects-solutions-pro-guide,/die-casting-defects-solutions-pro-guide,BLOG_ARTICLE,200,https://alumcasting.com/high-pressure-die-casting-process-quality,APPROVED_REMAP,MERGED,APPROVED_REMAP (301 approved),HIGH,In I/J/K/L 35-remap matrix; target is live Hugo page
https://alumcasting.com/die-casting-machine-tonnage-calculation-formula,/die-casting-machine-tonnage-calculation-formula,BLOG_ARTICLE,200,https://alumcasting.com/maximum-wall-thickness-projected-area-limits-5000t-die-casting,APPROVED_REMAP,MERGED,APPROVED_REMAP (301 approved),HIGH,In I/J/K/L 35-remap matrix; target is live Hugo page
https://alumcasting.com/ev-battery-housing-die-casting-design-prototyping-guide,/ev-battery-housing-die-casting-design-prototyping-guide,BLOG_ARTICLE,200,https://alumcasting.com/ev-battery-housing-die-casting,APPROVED_REMAP,MERGED,APPROVED_REMAP (301 approved),HIGH,In I/J/K/L 35-remap matrix; target is live Hugo page
